type_of_violence,year,longitude,latitude
1,2014,76.157153,33.85145
1,1994,79.856929,17.940756
1,2004,74.25,33.25
1,2007,84.582973,23.460937
1,2002,74.167293,34.372601
2,2006,93.613235,25.500738
3,2007,95.366667,27.5
1,2002,74.934837,33.836438
1,2015,90.167936,26.58175
1,2015,81.37964,18.49996
1,2015,81.51778,19.062994
3,2015,82.156063,18.295306
1,2015,95.082382,26.279893
1,2015,74.9,32.47
1,2015,75.10929,32.57523
1,2015,94.266667,24.333333
1,2015,74.475391,34.274824
1,2015,75.117092,33.780102
1,2015,74.82832,34.50404
1,2003,74.25,33.25
1,2002,75.16667,33.83333
1,2002,76.66667,33.91667
1,2007,80.815277,18.554458
1,2003,74.1,33.77
2,2007,94.687332,26.6018
1,2006,81.167495,16.850466
1,2003,74.676,32.565
1,1999,75.466944,34.497778
1,1999,76.55,34.71
3,2013,85.897727,26.14611
1,2013,74.073895,34.383537
3,2013,81.973358,18.605977
1,2013,81.686187,19.590579
3,1993,76.66667,33.91667
3,1999,91.666667,23.5
1,2003,90.566667,26.466667
1,2003,90.23099,26.56946
2,2006,94.1077,25.6701
2,2005,95.05841,26.73583
2,2006,94.489089,26.093095
1,2006,80.7761,18.84322
1,2010,93.0,26.0
3,1997,91.5,23.916667
3,2009,87.04968,22.58732
2,2012,90.70895,26.494504
1,1998,74.667213,34.421456
3,1998,74.197139,34.463608
3,2010,87.074741,22.060675
1,2005,95.366667,27.5
1,1994,74.75,34.16667
3,2005,75.117832,33.919908
1,2004,76.66667,33.91667
1,2000,74.55754,33.307624
3,2003,72.856248,19.017587
3,2001,76.66667,33.91667
1,2004,80.204025,16.272125
1,2003,74.167293,34.372601
1,2002,74.934837,33.836438
1,2011,74.676,32.565
1,2002,74.3692,34.19287
1,2013,94.062828,24.664034
1,2007,74.676,32.565
1,2007,93.55,24.966667
1,2007,93.55,24.966667
1,1993,93.0,26.0
2,2009,94.16667,25.75
1,2005,91.847222,23.917222
3,2009,84.4,23.75
1,2004,93.0,26.0
1,2011,82.481857,20.536828
1,1996,93.0,26.0
1,2006,91.847222,23.917222
3,1999,76.66667,33.91667
1,2002,74.676,32.565
1,2005,74.926357,32.480515
3,1989,93.0,26.0
2,2010,78.45636,17.38405
2,1989,75.859413,22.662735
3,1990,75.41667,30.91667
1,2010,84.290462,23.789727
1,2014,91.5,23.916667
3,2014,76.157153,33.85145
1,2004,76.66667,33.91667
2,2006,94.511943,26.000795
2,1989,79.118026,28.111371
3,2003,75.596061,32.610398
1,2002,74.25,33.25
3,2009,80.932205,18.55375
3,2006,80.7761,18.84322
1,2004,76.66667,33.91667
1,2015,92.743309,26.80284
1,2015,93.752212,26.413299
2,2015,93.7217,25.91174
3,2015,75.026443,33.924686
1,2004,85.75,25.75
3,1991,75.845668,30.934835
2,2006,94.51667,25.96667
3,1990,74.901359,31.63278
3,1989,75.082214,31.71479
3,1989,74.811306,32.67721
1,2004,74.475391,34.274824
3,2005,74.95,32.98
3,2005,75.16667,33.83333
3,1999,75.230705,33.555134
3,2005,74.697219,33.13383
3,2005,74.496665,33.983612
2,1994,94.0,25.0
2,1995,94.0,25.0
3,2005,74.66297,33.89001
3,2005,74.1,33.77
3,2005,75.16667,33.83333
3,1990,75.673046,32.25768
3,1990,75.41667,30.91667
3,2002,93.0,26.0
3,2001,76.66667,33.91667
3,1998,91.654346,23.527622
3,2006,75.006919,33.642257
3,2006,74.475391,34.274824
3,2003,91.666667,23.5
3,2006,74.25,33.25
3,1999,74.587356,34.12769
3,2004,74.005428,34.443656
3,2004,74.836643,33.318773
3,1998,74.167293,34.372601
3,2004,75.16667,33.0
3,2004,74.964687,33.896187
1,2002,74.25,33.25
3,1999,74.823383,34.080399
3,2004,74.395393,33.187491
3,2004,75.324863,34.048427
3,2003,76.66667,33.91667
3,2003,74.587356,34.12769
3,2003,74.667213,34.421456
3,2003,74.352306,34.41654
3,2003,76.66667,33.91667
3,2003,76.66667,33.91667
3,2001,74.167293,34.372601
3,2001,74.66297,33.89001
3,2001,76.66667,33.91667
3,2001,76.66667,33.91667
3,2001,76.66667,33.91667
1,2006,93.55,24.966667
1,2001,91.25,26.333333
1,2010,92.690547,26.843299
