year,population 
1985,781737000
1986,798942000
1987,816329000
1988,833834000
1989,851375000
1990,868891000
1991,886349000
1992,903750000
1993,921108000
1994,938453000
1995,955804000
1996,973148000
1997,990460000
1998,1007747000
1999,1025015000
2000,1042262000
2001,1059501000
2002,1076706000
2003,1093787000
2004,1110626000
2005,1127144000
2006,1143289000
2007,1159095000
2008,1174662000
2009,1190138000
2010,1205625000
2011,1221156000
2012,1236687000
2013,1252140000
2014,1267402000
2015,1282390000
2016,1297075000
2017,1311476000
