type_of_violence,year,longitude,latitude
3,2001,45.6982,43.318
3,2000,45.4743,43.1607
1,2003,45.7477,43.3058
1,2008,45.3586,43.0952
1,2008,44.702,43.3476
1,2008,44.6971,43.3488
1,2008,44.9843,43.0808
1,2008,47.9588,41.7405
1,2008,45.6982,43.318
1,2008,47.6269,42.8496
1,2008,45.7477,43.3058
1,2008,45.6213,43.1609
1,2008,38.9424,44.9892
1,2008,46.1134,42.9595
1,2008,45.3014,43.2911
1,2008,47.613,42.708
1,2008,44.8887,43.1933
1,2008,44.8203,43.4052
1,2008,47.613,42.708
1,2008,45.6982,43.318
1,2008,47.6089,42.4959
1,2008,46.5851,43.2505
1,2008,45.6982,43.318
1,2008,45.4801,43.1217
1,2008,44.5902,43.5096
1,2008,47.613,42.708
1,2008,47.5046,42.9849
1,2008,47.5046,42.9849
1,2008,45.4801,43.1217
1,2008,43.8396,43.468
1,2008,45.7477,43.3058
1,2008,44.7646,43.2275
1,2008,37.7528,45.0131
1,2008,47.6269,42.8496
1,2008,45.6982,43.318
1,2008,46.5851,43.2505
1,2008,47.5046,42.9849
1,2008,45.8263,43.2953
1,2008,47.5046,42.9849
1,2008,47.5046,42.9849
1,2008,45.3032,43.395
1,2008,47.5046,42.9849
1,2008,44.7646,43.2275
1,2008,45.4801,43.1217
1,2008,45.6982,43.318
1,2008,43.535,43.6819
1,2009,45.6982,43.318
1,2008,45.0131,42.9801
1,2008,45.6213,43.1609
1,2008,47.5046,42.9849
1,2009,44.9094,43.3056
1,2009,44.5902,43.5096
1,2009,45.7415,43.123
1,2009,46.3108,42.9809
1,2009,45.0477,43.3204
1,2009,46.7276,43.2962
1,2009,45.201,43.1627
1,2009,30.3152,59.9257
1,2009,45.912594,43.157803
1,2009,44.7646,43.2275
1,2009,45.0893,43.1371
1,2009,44.746127,43.187861
1,2009,44.7646,43.2275
1,2009,44.7646,43.2275
1,2009,38.9501,45.5037
1,2009,44.7646,43.2275
1,2009,44.7646,43.2275
1,2009,45.6982,43.318
1,2009,47.0886,42.7347
1,2009,47.7534,42.4843
1,2009,46.2423,42.9682
1,2009,47.655,42.3741
1,2009,44.7646,43.2275
1,2009,47.5046,42.9849
1,2009,44.8203,43.4052
1,2009,47.5046,42.9849
1,2009,45.5406,43.1276
1,2009,47.5046,42.9849
1,2009,47.5046,42.9849
1,2009,47.655,42.3741
1,2009,45.1003,43.0309
1,2009,45.0477,43.3204
1,2009,47.5046,42.9849
1,2009,45.7477,43.3058
1,2009,45.6982,43.318
1,2009,43.5629,43.3932
1,2009,45.6982,43.318
1,2009,47.5046,42.9849
1,2009,45.0477,43.3204
1,2009,45.0477,43.3204
1,2009,44.8203,43.4052
1,2009,46.5851,43.2505
1,2009,45.7477,43.3058
1,2009,46.0174,42.9705
1,2009,45.6982,43.318
1,2009,45.201,43.1627
1,2009,47.613,42.708
1,2009,43.6071,43.4846
1,2009,47.5046,42.9849
1,2009,45.199,43.1617
1,2009,46.1927,43.3365
1,2009,43.6071,43.4846
1,2009,45.6982,43.318
1,2009,45.201,43.1627
1,2009,47.655,42.3741
1,2009,45.8318,43.1905
1,2009,46.661,43.1831
1,2009,45.8263,43.2953
1,2009,45.6982,43.318
1,2009,45.6982,43.318
1,2009,45.0131,42.9801
1,2009,45.199,43.1617
1,2009,44.7646,43.2275
1,2009,43.8396,43.468
1,2009,45.756,42.8625
1,2009,45.6982,43.318
1,2009,46.5851,43.2505
1,2009,43.6071,43.4846
1,2009,45.189887,43.122582
1,2009,47.5046,42.9849
1,2009,44.7646,43.2275
1,2009,44.7646,43.2275
1,2009,45.0477,43.3204
1,2009,47.5046,42.9849
1,2009,46.1959,43.134
1,2009,44.9949,43.0273
1,2009,47.5046,42.9849
1,2009,47.5046,42.9849
1,2009,47.565,42.5648
1,2009,47.5046,42.9849
1,2009,44.8035,44.1874
1,2009,45.6982,43.318
1,2009,44.9944,43.1817
1,2009,42.619,43.25
1,2009,44.8279,43.1911
1,2009,45.901,43.1488
1,2009,47.5046,42.9849
1,2009,45.3586,43.0952
1,2009,44.9094,43.3056
1,2009,45.6982,43.318
1,2009,45.901,43.1488
1,2009,45.7675,42.985
1,2009,45.1185,43.1896
1,2009,45.7415,43.123
1,2010,47.5046,42.9849
1,2009,44.9094,43.3056
1,2009,45.6982,43.318
1,2009,44.7646,43.2275
1,2009,44.8358,43.2854
1,2009,47.5046,42.9849
1,2009,45.123,43.1373
1,2009,46.8421,43.2349
1,2012,46.5851,43.2505
1,2009,45.1185,43.1896
1,2009,42.8183,44.2345
1,2009,46.5851,43.2505
1,2009,46.7233,43.8485
1,2009,47.5652,42.7101
1,2009,43.5246,43.7171
1,2009,47.5046,42.9849
1,2009,48.0653,42.1262
1,2009,45.6982,43.318
3,2007,44.9094,43.3056
1,2009,44.76,43.4026
1,2009,44.8279,43.1911
1,2008,45.6982,43.318
3,2007,44.7646,43.2275
1,2005,47.5046,42.9849
1,2009,46.0519,42.9638
1,2009,45.6982,43.318
1,2009,45.5154,43.0708
1,2009,45.6213,43.1609
1,2009,45.5154,43.0708
3,2001,45.5638,43.2286
1,2009,45.6982,43.318
1,2009,45.6982,43.318
1,2009,47.5046,42.9849
1,2003,45.7477,43.3058
1,2009,44.8203,43.4052
1,2010,47.1164,42.8214
1,2009,47.6269,42.8496
1,2009,45.756,42.8625
1,2009,45.6982,43.318
3,2010,45.123,43.1373
1,2009,47.0761,42.1246
1,2009,47.137781,42.273292
1,2009,48.2908,42.059
1,2009,45.6982,43.318
1,2010,45.4384,43.4015
1,2009,47.5046,42.9849
1,2011,45.6982,43.318
1,2009,48.2548,42.0626
1,2009,47.5046,42.9849
1,2009,47.5046,42.9849
1,2009,45.8724,43.2917
3,2012,37.6173,55.7558
1,2009,45.201,43.1627
1,2003,45.6982,43.318
3,2000,46.2256,42.981
1,2009,45.0477,43.3204
1,2009,45.3014,43.2911
1,2009,45.300046,43.131672
1,1995,46.1035,43.3519
1,2009,45.6982,43.318
1,2009,45.6982,43.318
1,2009,45.6982,43.318
1,2009,47.2236,42.6351
1,2009,45.7798,43.5287
1,2009,45.6982,43.318
1,2005,41.9143,43.7732
3,2001,45.8724,43.2917
1,2009,45.6982,43.318
1,2009,47.5046,42.9849
3,2001,46.2202,43.0802
1,2005,44.8358,43.2854
3,2001,45.7415,43.123
1,2005,46.5851,43.2505
1,2009,44.6571,43.7472
1,2009,44.0109,43.7587
1,2009,46.2526,43.2227
1,2005,46.5906,43.8138
1,2005,45.7477,43.3058
1,2005,45.7477,43.3058
