year,population 
1985,143524000
1986,144582000
1987,145641000
1988,146639000
1989,147494000
1990,148149000
1991,148578000
1992,148798000
1993,148843000
1994,148764000
1995,148602000
1996,148375000
1997,148080000
1998,147716000
1999,147276000
2000,146763000
2001,146170000
2002,145521000
2003,144880000
2004,144331000
2005,143933000
2006,143715000
2007,143652000
2008,143677000
2009,143690000
2010,143618000
2011,143438000
2012,143170000
2013,142834000
2014,142468000
2015,142098000
2016,141729000
2017,141348000
